fileID,f1,f2,vot,notes
bi02_kaka,781.87,1573.37,22.22,
bi02_kaka1,767.37,1521.56,23.91,
bi02_kaka2,524.06,1488.08,24.70,
bi02_keke,470.84,2199.57,20.84,
bi02_keke1,467.99,2330.16,20.01,
bi02_keke2,536.17,2263.50,18.46,
bi02_kiki,334.66,2637.59,30.22,
bi02_kiki1,347.88,2699.78,20.96,
bi02_kiki2,339.52,2664.33,19.15,
bi02_koko,617.23,992.51,29.68,
bi02_koko1,592.04,962.71,26.92,
bi02_koko2,491.63,876.08,32.75,
bi02_kuku,471.79,910.22,31.42,
bi02_kuku1,467.63,917.71,34.22,
bi02_kuku2,302.75,763.78,27.05,
bi02_paka,808.86,1633.90,9.10,
bi02_paka1,730.37,1466.33,13.44,
bi02_paka2,684.39,1618.26,10.64,
bi02_peke,498.20,2256.37,20.83,
bi02_peke1,461.42,2350.59,17.81,
bi02_peke2,484.52,2337.66,13.81,
bi02_piki,358.25,1645.40,18.24,
bi02_piki1,285.18,2640.03,10.97,
bi02_piki2,574.74,2682.45,17.06,
bi02_poko,586.84,919.27,22.49,
bi02_poko1,579.14,947.75,18.30,
bi02_poko2,560.41,1054.69,18.00,
bi02_puku,506.89,898.08,28.48,
bi02_puku1,462.93,847.93,17.44,
bi02_puku2,440.52,804.08,23.02,
bi02_taka,814.04,1553.18,14.62,
bi02_taka1,734.09,1525.64,10.86,
bi02_taka2,522.25,1447.68,20.15,
bi02_teke,528.42,2218.02,14.07,
bi02_teke1,464.20,2344.18,14.97,
bi02_teke2,406.97,1412.56,14.48,
bi02_tiki,647.66,2405.13,14.22,
bi02_tiki1,346.59,2741.16,16.70,
bi02_tiki2,341.06,1006.99,15.02,
bi02_toko,450.43,888.82,5.60,
bi02_toko1,548.37,962.07,11.61,
bi02_toko2,606.81,1001.95,12.04,
bi02_tuku,472.91,963.73,12.67,
bi02_tuku1,466.80,930.51,13.06,
bi02_tuku2,516.49,842.01,12.48,
