fileID,f1,f2,vot,notes
ne01_kaka,900.97,1628.63,41.29,
ne01_kaka1,952.34,1767.67,38.68,
ne01_kaka2,1063.18,1777.38,27.12,
ne01_keke,470.43,2481.88,38.35,
ne01_keke1,603.52,2459.42,25.41,
ne01_keke2,494.84,2614.98,30.98,
ne01_kiki,374.52,2845.50,39.73,
ne01_kiki1,1117.01,2197.85,45.82,
ne01_kiki2,438.63,2781.33,42.30,
ne01_koko,666.00,1081.96,47.83,
ne01_koko1,579.16,1064.17,33.88,
ne01_koko2,649.20,1103.05,30.81,
ne01_kuku,487.87,1104.38,57.75,
ne01_kuku1,440.73,1006.49,55.92,
ne01_kuku2,1085.47,2128.22,54.35,
ne01_paka,739.64,1514.83,21.39,
ne01_paka1,807.39,1552.75,11.04,
ne01_paka2,847.98,1651.13,11.46,
ne01_peke,429.38,2652.51,13.24,
ne01_peke1,386.81,2674.47,17.90,
ne01_peke2,545.14,2518.87,8.13,
ne01_piki,401.71,2836.15,18.12,
ne01_piki1,419.91,2844.08,8.73,
ne01_piki2,372.15,2926.42,7.50,
ne01_poko,513.87,1083.38,22.60,
ne01_poko1,583.62,1156.26,21.06,
ne01_poko2,508.26,1055.40,18.26,
ne01_puku,425.53,1060.89,21.85,
ne01_puku1,449.48,1058.86,48.81,
ne01_puku2,436.68,1013.93,61.00,
ne01_taka,888.56,1697.55,15.09,
ne01_taka1,1191.52,1749.80,16.14,
ne01_taka2,930.15,1720.23,11.93,
ne01_teke,511.45,2492.12,15.15,
ne01_teke1,548.08,2468.26,17.47,
ne01_teke2,832.53,2501.74,15.11,
ne01_tiki,372.10,2879.90,21.25,
ne01_tiki1,376.79,2829.89,24.39,
ne01_tiki2,362.36,3006.04,31.00,
ne01_toko,587.28,990.28,30.51,
ne01_toko1,455.96,1075.69,28.54,
ne01_toko2,560.88,1064.61,15.48,
ne01_tuku,423.12,1063.38,38.33,
ne01_tuku1,414.29,1071.66,28.76,
ne01_tuku2,1062.27,1584.89,42.83,
